[1110/154613:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/154645:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/161705:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/161809:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/092802:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/092836:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/094825:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/095847:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/110238:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/144913:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/144946:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1113/233811:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1113/233900:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1113/234026:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/211738:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/211903:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/091447:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/091544:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/094430:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/094530:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/095101:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/101608:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/134229:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/135554:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/135634:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/203146:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1117/044945:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1117/100501:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1117/114956:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1117/120449:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1117/123317:ERROR:file_io.cc(30)] read: expected 4, observed 0
